"Item Number","Item Description","Discontinued Item?","1 KQH-LAVALETTE Value","WEB Visability Store 1","2 KQH-KENOVA Value","WEB Visibility Store 2","3 KQH-WAYNE Value","WEB Visibility Store 3","Retail Price","Department Name","Class Name","Fineline Name","Manufacturer","MFG Part #","Date of Change (QOH or Retail)","Vendor Code","Vendor Name","Promotion Price","UPC Code","UPC Date Last Used"
"1005776","SANDSPNG ACE JUMBO FN/MD","N","3","1","4","1","3","1","2.990","PAINT AND PAINT SUPPLIES","HAND/POWER SANDING ABRASI","SANDING SPONGES/PADS","ALI INDUSTRIES INC","       1005776","01/20/2020","ACE","ACE HARDWARE","0.000","082901005834","01/20/2020"
"1008218","MASKING TAPE1.41X60YD CR","N","6","1","10","1","7","1","5.990","PAINT AND PAINT SUPPLIES","TAPES","MASKING TAPES & MACHINES","SHURTECH BRANDS LLC","       1239655","01/20/2020","ACE","ACE HARDWARE","0.000","082901007616","01/20/2020"
"1008945","MORTAR VERSABOND WHT 50#","N","4","1","1","1",,"1","18.990","PAINT AND PAINT SUPPLIES","CEMENTS/PLASTERS","MORTARS","CUSTOM BUILDING PRODUCTS","MTSW50","01/20/2020","ACE","ACE HARDWARE","0.000","010186421841","01/20/2020"
"1009232","STRAINR PAINT CONE 4PK","N","3","1",,"1",,"1","1.590","PAINT AND PAINT SUPPLIES","PAINTER TOOLS/PAILS/ACCS","PAINTERS TOOLS","TRIMACO INC","         11101","01/20/2020","ACE","ACE HARDWARE","0.000","047034111012","01/20/2020"
"1009232","STRAINR PAINT CONE 4PK","N","3","1",,"1",,"1","1.590","PAINT AND PAINT SUPPLIES","PAINTER TOOLS/PAILS/ACCS","PAINTERS TOOLS","TRIMACO INC","         11101","01/20/2020","ACE","ACE HARDWARE","0.000","095561121004","05/03/2006"
"1009232","STRAINR PAINT CONE 4PK","N","3","1",,"1",,"1","1.590","PAINT AND PAINT SUPPLIES","PAINTER TOOLS/PAILS/ACCS","PAINTERS TOOLS","TRIMACO INC","         11101","01/20/2020","ACE","ACE HARDWARE","0.000","716024111012","11/12/2012"
"1010008","ACE RSTP FLT WHT 15OZ","N","9","1","5","1","6","1","4.990","PAINT AND PAINT SUPPLIES","SPRAY PAINTS","RUST PREVENTATIVE","THE SHERWIN-WILLIAMS COMPANY","I00002A07","01/20/2020","ACE","ACE HARDWARE","0.000","082901012481","01/20/2020"
"1010081","ACE RSTP SPRY SAFETY BLU","N","3","1","0","1","4","1","4.990","PAINT AND PAINT SUPPLIES","SPRAY PAINTS","COMMERCIAL","THE SHERWIN-WILLIAMS COMPANY","I00024A07","01/20/2020","ACE","ACE HARDWARE","0.000","082901012566","01/20/2020"
"1010800","JNT CMPND EASYSND45 18LB","N","1","1","4","1","2","1","12.990","PAINT AND PAINT SUPPLIES","WALL REPAIR MATERIALS","JOINT COMPOUNDS","UNITED STATES GYPSUM","        384210","01/20/2020","ACE","ACE HARDWARE","0.000","081099000164","01/20/2020"
"1010990","JNT CMPND EASYSND20 18LB","N","1","1","2","1","0","1","12.990","PAINT AND PAINT SUPPLIES","WALL REPAIR MATERIALS","JOINT COMPOUNDS","UNITED STATES GYPSUM","        384214","01/20/2020","ACE","ACE HARDWARE","0.000","081099000294","01/20/2020"
"1011014","JNT CMPND ALL PURP 3.5QT","N","2","1","0","1","5","1","7.590","PAINT AND PAINT SUPPLIES","WALL REPAIR MATERIALS","JOINT COMPOUNDS","UNITED STATES GYPSUM","        385140","01/20/2020","ACE","ACE HARDWARE","0.000","081099000058","01/20/2020"
"1011014","JNT CMPND ALL PURP 3.5QT","N","2","1","0","1","5","1","7.590","PAINT AND PAINT SUPPLIES","WALL REPAIR MATERIALS","JOINT COMPOUNDS","UNITED STATES GYPSUM","        385140","01/20/2020","ACE","ACE HARDWARE","0.000","810995","10/17/2013"
"1015379","ACE WALL REPAIR PATCH4X4","N","8","1","4","1","21","1","3.990","PAINT AND PAINT SUPPLIES","WALL REPAIR MATERIALS","WALL REPAIR PATCHES/KITS","SHURTECH BRANDS LLC","        393707","01/20/2020","ACE","ACE HARDWARE","0.000","082901020011","01/20/2020"
"10166","FILLR WD CRPNTRS8OZ NAT","N","5","1","6","1","5","1","4.990","PAINT AND PAINT SUPPLIES","WOOD FILLER/PUTTY/STICKS","WOOD FILLER","ELMER'S PRODUCTS, INC.","E848D12","01/20/2020","ACE","ACE HARDWARE","0.000","026000008327","11/27/2006"
"10166","FILLR WD CRPNTRS8OZ NAT","N","5","1","6","1","5","1","4.990","PAINT AND PAINT SUPPLIES","WOOD FILLER/PUTTY/STICKS","WOOD FILLER","ELMER'S PRODUCTS, INC.","E848D12","01/20/2020","ACE","ACE HARDWARE","0.000","026000008488","06/20/2008"
"10166","FILLR WD CRPNTRS8OZ NAT","N","5","1","6","1","5","1","4.990","PAINT AND PAINT SUPPLIES","WOOD FILLER/PUTTY/STICKS","WOOD FILLER","ELMER'S PRODUCTS, INC.","E848D12","01/20/2020","ACE","ACE HARDWARE","0.000","026000108485","01/20/2020"
"10166","FILLR WD CRPNTRS8OZ NAT","N","5","1","6","1","5","1","4.990","PAINT AND PAINT SUPPLIES","WOOD FILLER/PUTTY/STICKS","WOOD FILLER","ELMER'S PRODUCTS, INC.","E848D12","01/20/2020","ACE","ACE HARDWARE","0.000","268320","04/05/2005"
"10166","FILLR WD CRPNTRS8OZ NAT","N","5","1","6","1","5","1","4.990","PAINT AND PAINT SUPPLIES","WOOD FILLER/PUTTY/STICKS","WOOD FILLER","ELMER'S PRODUCTS, INC.","E848D12","01/20/2020","ACE","ACE HARDWARE","0.000","268480","04/05/2005"
"1018944","TRAY ROLLER D WELL STACK","N",,"1","11","1","5","1","3.990","PAINT AND PAINT SUPPLIES","PAINT ROLLERS","TRAYS AND FRAMES","SHUR-LINE","    8290118944","01/20/2020","ACE","ACE HARDWARE","0.000","026703001458","12/05/2008"
